#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=30 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:58 out:58 type:P dur:2 cpbdur:2 q:29.03 aq:23.20 tex:2761 mv:168 misc:175 imb:2 pmb:38 smb:880 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:29.03 aq:22.28 tex:3052 mv:210 misc:162 imb:1 pmb:38 smb:881 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:29.03 aq:16.48 tex:5802 mv:404 misc:170 imb:36 pmb:8 smb:876 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:29.03 aq:22.52 tex:1849 mv:207 misc:160 imb:4 pmb:33 smb:883 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:29.03 aq:20.95 tex:1209 mv:329 misc:166 imb:38 pmb:1 smb:881 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:29.03 aq:11.09 tex:98 mv:288 misc:190 imb:47 pmb:0 smb:873 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:29.03 aq:15.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:29.03 aq:15.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:29.03 aq:15.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:29.03 aq:16.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:29.03 aq:16.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:29.03 aq:18.76 tex:4924 mv:3917 misc:855 imb:523 pmb:29 smb:368 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:29.03 aq:20.00 tex:13478 mv:7502 misc:988 imb:914 pmb:6 smb:0 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:29.03 aq:22.58 tex:19698 mv:9205 misc:985 imb:776 pmb:137 smb:7 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:29.03 aq:23.72 tex:23483 mv:9880 misc:989 imb:721 pmb:186 smb:13 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:29.03 aq:24.58 tex:27172 mv:10709 misc:991 imb:661 pmb:251 smb:8 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:29.03 aq:25.52 tex:35500 mv:11067 misc:993 imb:677 pmb:231 smb:12 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:29.03 aq:25.66 tex:49370 mv:11259 misc:987 imb:689 pmb:225 smb:6 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:29.03 aq:25.34 tex:71089 mv:11160 misc:991 imb:700 pmb:216 smb:4 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:29.03 aq:25.24 tex:104270 mv:11781 misc:981 imb:621 pmb:297 smb:2 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:29.03 aq:24.64 tex:128246 mv:11785 misc:985 imb:544 pmb:375 smb:1 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:29.03 aq:25.48 tex:18324 mv:3655 misc:941 imb:96 pmb:313 smb:511 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:29.03 aq:26.69 tex:19054 mv:3760 misc:938 imb:92 pmb:292 smb:536 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:29.03 aq:26.82 tex:14326 mv:3096 misc:802 imb:46 pmb:258 smb:616 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:29.03 aq:26.24 tex:16851 mv:4638 misc:927 imb:102 pmb:358 smb:460 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:29.03 aq:26.73 tex:234 mv:207 misc:319 imb:1 pmb:31 smb:888 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:29.03 aq:27.75 tex:15521 mv:5015 misc:976 imb:87 pmb:397 smb:436 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:29.03 aq:28.23 tex:21956 mv:5932 misc:984 imb:152 pmb:410 smb:358 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:29.03 aq:26.86 tex:31117 mv:7449 misc:1002 imb:264 pmb:423 smb:233 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:29.03 aq:26.25 tex:46355 mv:8618 misc:995 imb:315 pmb:452 smb:153 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:29.03 aq:25.58 tex:507 mv:254 misc:359 imb:2 pmb:42 smb:876 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:29.03 aq:27.68 tex:39034 mv:6838 misc:880 imb:358 pmb:260 smb:302 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:29.03 aq:27.31 tex:34390 mv:7594 misc:976 imb:351 pmb:336 smb:233 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:29.03 aq:26.27 tex:35779 mv:8520 misc:989 imb:432 pmb:334 smb:154 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:29.03 aq:24.88 tex:53127 mv:9043 misc:1006 imb:508 pmb:281 smb:131 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:29.03 aq:26.02 tex:576 mv:205 misc:387 imb:0 pmb:41 smb:879 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:29.03 aq:26.62 tex:39805 mv:7873 misc:986 imb:391 pmb:299 smb:230 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:29.03 aq:26.91 tex:35818 mv:7427 misc:1011 imb:276 pmb:365 smb:279 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:29.03 aq:26.51 tex:28906 mv:7596 misc:1002 imb:206 pmb:422 smb:292 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:29.03 aq:26.70 tex:15952 mv:6613 misc:1035 imb:128 pmb:481 smb:311 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:29.03 aq:26.45 tex:26810 mv:6789 misc:1009 imb:276 pmb:429 smb:215 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:29.03 aq:26.46 tex:31758 mv:7210 misc:976 imb:257 pmb:424 smb:239 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:29.03 aq:25.95 tex:27312 mv:7394 misc:1030 imb:196 pmb:508 smb:216 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:29.03 aq:25.18 tex:29886 mv:8009 misc:1033 imb:215 pmb:559 smb:146 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:29.03 aq:25.48 tex:22109 mv:6968 misc:1011 imb:153 pmb:534 smb:233 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:29.03 aq:25.55 tex:23967 mv:6541 misc:1020 imb:143 pmb:557 smb:220 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:29.03 aq:25.49 tex:28482 mv:7312 misc:1030 imb:156 pmb:566 smb:198 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:29.03 aq:25.54 tex:28304 mv:7034 misc:1022 imb:153 pmb:566 smb:201 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:29.03 aq:25.46 tex:29172 mv:7630 misc:1030 imb:178 pmb:584 smb:158 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:29.03 aq:26.00 tex:25600 mv:6440 misc:1008 imb:133 pmb:532 smb:255 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:29.03 aq:24.51 tex:70970 mv:9165 misc:993 imb:377 pmb:537 smb:6 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:29.03 aq:25.21 tex:14974 mv:4970 misc:984 imb:66 pmb:474 smb:380 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:29.03 aq:25.71 tex:25699 mv:6320 misc:997 imb:153 pmb:502 smb:265 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:29.03 aq:25.34 tex:32200 mv:7093 misc:1011 imb:167 pmb:549 smb:204 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:29.03 aq:24.91 tex:41611 mv:7661 misc:1032 imb:202 pmb:547 smb:171 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:29.03 aq:24.33 tex:32908 mv:6602 misc:1034 imb:168 pmb:574 smb:178 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:29.03 aq:23.51 tex:48783 mv:7379 misc:1006 imb:213 pmb:599 smb:108 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:29.03 aq:22.99 tex:24923 mv:5492 misc:1065 imb:86 pmb:554 smb:280 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:29.03 aq:23.21 tex:14761 mv:3910 misc:977 imb:52 pmb:370 smb:498 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:29.03 aq:24.18 tex:14260 mv:3469 misc:783 imb:48 pmb:285 smb:587 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:29.03 aq:23.45 tex:1205 mv:386 misc:489 imb:9 pmb:64 smb:847 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:29.03 aq:24.85 tex:9944 mv:3300 misc:692 imb:60 pmb:238 smb:622 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:29.03 aq:24.49 tex:9897 mv:3545 misc:718 imb:78 pmb:255 smb:587 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:29.03 aq:24.29 tex:10588 mv:3432 misc:732 imb:72 pmb:250 smb:598 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:29.03 aq:24.85 tex:13296 mv:3999 misc:833 imb:78 pmb:353 smb:489 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:29.03 aq:24.50 tex:953 mv:241 misc:438 imb:0 pmb:55 smb:865 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:29.03 aq:25.39 tex:10342 mv:4388 misc:878 imb:77 pmb:388 smb:455 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:29.03 aq:25.24 tex:11614 mv:4044 misc:870 imb:62 pmb:358 smb:500 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:29.03 aq:26.43 tex:12207 mv:3545 misc:856 imb:43 pmb:333 smb:544 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:29.03 aq:25.31 tex:11891 mv:3109 misc:792 imb:38 pmb:283 smb:599 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:29.03 aq:25.28 tex:648 mv:195 misc:349 imb:2 pmb:33 smb:885 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:29.03 aq:28.05 tex:15024 mv:4506 misc:758 imb:130 pmb:254 smb:536 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:29.03 aq:26.03 tex:30771 mv:7004 misc:985 imb:285 pmb:312 smb:323 d:- ref:0 ;
in:143 out:143 type:P dur:2 cpbdur:2 q:29.03 aq:25.65 tex:35072 mv:8435 misc:989 imb:413 pmb:299 smb:208 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:29.03 aq:24.67 tex:37572 mv:8381 misc:983 imb:494 pmb:273 smb:153 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:29.03 aq:22.25 tex:475 mv:234 misc:355 imb:5 pmb:32 smb:883 d:- ref:0 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:29.03 aq:26.30 tex:30607 mv:7866 misc:959 imb:516 pmb:220 smb:184 d:- ref:0 ;
in:147 out:147 type:P dur:2 cpbdur:2 q:29.03 aq:25.88 tex:31927 mv:8476 misc:973 imb:542 pmb:210 smb:168 d:- ref:0 ;
in:148 out:148 type:P dur:2 cpbdur:2 q:29.03 aq:25.09 tex:40680 mv:8161 misc:975 imb:601 pmb:173 smb:146 d:- ref:0 ;
in:149 out:149 type:P dur:2 cpbdur:2 q:29.03 aq:25.21 tex:42752 mv:8312 misc:944 imb:529 pmb:192 smb:199 d:- ref:0 ;
in:150 out:150 type:P dur:2 cpbdur:2 q:29.03 aq:20.91 tex:2496 mv:1045 misc:563 imb:36 pmb:101 smb:783 d:- ref:0 ;
in:151 out:151 type:P dur:2 cpbdur:2 q:29.03 aq:25.64 tex:35896 mv:7906 misc:974 imb:541 pmb:186 smb:193 d:- ref:0 ;
in:152 out:152 type:P dur:2 cpbdur:2 q:29.03 aq:26.06 tex:35017 mv:7680 misc:951 imb:503 pmb:172 smb:245 d:- ref:0 ;
in:153 out:153 type:P dur:2 cpbdur:2 q:29.03 aq:26.22 tex:53474 mv:8269 misc:929 imb:457 pmb:231 smb:232 d:- ref:0 ;
in:154 out:154 type:P dur:2 cpbdur:2 q:29.03 aq:24.95 tex:74130 mv:8514 misc:924 imb:440 pmb:254 smb:226 d:- ref:0 ;
in:155 out:155 type:P dur:2 cpbdur:2 q:29.03 aq:21.89 tex:1206 mv:317 misc:453 imb:6 pmb:61 smb:853 d:- ref:0 ;
in:156 out:156 type:P dur:2 cpbdur:2 q:29.03 aq:26.34 tex:33993 mv:5766 misc:905 imb:259 pmb:314 smb:347 d:- ref:0 ;
in:157 out:157 type:P dur:2 cpbdur:2 q:29.03 aq:25.09 tex:27143 mv:5460 misc:901 imb:195 pmb:326 smb:399 d:- ref:0 ;
in:158 out:158 type:P dur:2 cpbdur:2 q:29.03 aq:25.18 tex:23308 mv:5043 misc:985 imb:110 pmb:435 smb:375 d:- ref:0 ;
in:159 out:159 type:P dur:2 cpbdur:2 q:29.03 aq:25.19 tex:25270 mv:4781 misc:949 imb:104 pmb:403 smb:413 d:- ref:0 ;
in:160 out:160 type:P dur:2 cpbdur:2 q:29.03 aq:23.28 tex:1392 mv:352 misc:488 imb:5 pmb:64 smb:851 d:- ref:0 ;
